,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1610.1,1514.6,88.7,19.2,20.3,56.0,13.8,42.2
Mar-2020,1390.6,1328.6,53.9,16.5,16.8,28.7,3.3,25.4
Jun-2020,790.1,756.0,27.7,16.1,15.3,2.6,1.6,1.0
Sep-2020,1594.0,1506.0,75.6,16.6,13.8,57.6,14.8,42.8
Dec-2020,1813.7,1707.5,94.1,17.6,13.8,74.8,19.1,55.8
Mar-2021,1854.3,1754.5,86.6,17.9,12.0,69.9,15.7,54.2
Jun-2021,1687.0,1596.8,80.7,17.5,11.2,61.5,15.6,45.9
Sep-2021,2109.2,1992.0,108.6,18.2,8.6,90.4,22.9,67.5
Dec-2021,2293.7,2183.8,103.7,17.6,8.5,83.7,21.2,62.5
Mar-2022,3007.6,2831.4,165.4,17.8,9.0,149.4,38.2,111.2
Jun-2022,2414.9,2307.5,99.5,17.6,9.8,80.0,20.6,59.4
