,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,4038.0,3790.5,225.2,157.5,33.7,54.2,26.4,27.8
Mar-2020,3872.9,3655.5,182.9,187.7,33.1,-72.1,-14.8,-57.3
Jun-2020,676.5,984.1,-333.2,163.7,76.8,-549.8,-161.0,-388.8
Sep-2020,2858.4,2756.2,80.4,171.2,87.2,-157.8,-11.1,-146.7
Dec-2020,4847.6,4559.7,253.8,194.4,65.6,-18.2,1.1,-19.4
Mar-2021,7038.4,6466.3,534.2,218.4,77.1,313.9,72.8,241.2
Jun-2021,2964.4,3091.1,-140.1,183.5,70.7,-382.6,-100.3,-282.3
Sep-2021,4478.8,4323.2,134.7,184.3,87.1,-115.5,-32.5,-83.0
Dec-2021,5552.8,5311.3,223.9,189.7,66.8,27.1,21.3,5.8
Mar-2022,8768.5,7968.2,776.0,195.3,76.5,998.6,97.3,901.4
Jun-2022,8499.5,7699.8,770.5,212.4,466.9,95.8,67.8,28.0
