,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,3383.7,2694.5,651.2,118.5,21.3,549.3,130.2,419.1
Mar-2020,3780.9,2771.7,848.6,118.8,17.5,872.9,147.8,725.0
Jun-2020,3545.3,2454.9,964.8,119.8,10.4,960.2,245.5,714.7
Sep-2020,4573.0,3317.2,1207.1,120.1,6.4,1129.2,327.7,801.5
Dec-2020,3875.8,2737.1,973.8,120.6,5.8,1012.2,271.7,740.5
Mar-2021,4381.4,3138.0,976.0,124.1,5.9,1113.5,240.9,872.6
Jun-2021,2920.8,2466.0,427.7,114.7,5.1,335.1,120.0,215.1
Sep-2021,2965.6,2543.4,339.7,98.2,3.4,320.5,122.8,197.7
Dec-2021,2754.3,2407.1,215.9,101.2,3.5,242.5,2.6,239.8
Mar-2022,3300.5,2380.2,507.0,101.2,4.9,739.5,-62.7,802.2
Jun-2022,2825.6,2544.7,242.3,103.0,7.8,170.1,47.9,122.2
