,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1202.6,1085.6,110.2,25.0,7.5,84.5,14.4,70.0
Mar-2020,1761.3,1498.7,241.3,27.4,17.3,217.9,-16.9,234.8
Jun-2020,1433.7,1212.9,217.5,27.8,15.6,177.4,42.8,134.6
Sep-2020,1294.4,1162.1,127.7,28.2,9.0,95.1,20.1,75.0
Dec-2020,1083.3,1035.8,36.4,28.1,5.0,14.4,-8.0,22.4
Mar-2021,1033.8,687.1,332.2,27.8,9.6,309.3,71.4,237.8
Jun-2021,1145.7,1006.4,134.0,29.3,13.1,96.8,23.8,73.0
Sep-2021,1218.2,1079.0,134.8,28.2,6.2,104.9,23.3,81.6
Dec-2021,1238.7,1112.4,99.8,28.0,3.7,94.6,23.5,71.1
Mar-2022,1291.4,948.6,331.0,28.4,7.8,359.3,70.4,289.0
Jun-2022,1094.6,1035.7,44.4,28.2,13.8,16.9,5.2,11.6
