,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,325.6,278.4,42.9,8.0,1.1,38.1,9.8,28.4
Mar-2020,297.5,250.8,42.4,9.1,1.2,36.4,-2.0,38.5
Jun-2020,149.5,136.0,6.6,8.1,1.0,4.4,1.5,2.9
Sep-2020,321.8,277.4,40.5,8.3,0.9,35.1,8.8,26.3
Dec-2020,318.3,270.1,39.7,8.4,1.0,38.9,9.8,29.1
Mar-2021,433.8,368.2,63.1,8.4,1.4,55.8,12.8,43.0
Jun-2021,228.6,203.0,19.8,7.3,1.0,17.3,4.3,12.9
Sep-2021,400.2,335.3,57.9,7.6,1.0,56.2,14.2,42.1
Dec-2021,391.2,325.9,61.1,7.8,1.0,56.5,14.2,42.3
Mar-2022,444.6,356.3,82.4,7.8,1.5,73.3,21.2,52.1
Jun-2022,395.5,334.6,61.2,7.0,0.9,53.0,13.3,39.6
