,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,706.1,561.0,138.4,18.8,1.8,124.6,31.3,93.3
Mar-2020,767.1,662.0,104.1,18.9,9.0,77.1,21.4,55.7
Jun-2020,570.4,473.8,88.2,18.8,3.3,74.5,19.3,55.1
Sep-2020,618.2,441.0,144.8,19.3,0.8,157.1,37.4,119.7
Dec-2020,1085.0,720.2,346.7,19.9,1.8,343.2,87.3,255.9
Mar-2021,1262.9,839.3,410.1,19.7,1.8,402.1,104.7,297.3
Jun-2021,981.1,756.2,209.5,20.1,4.8,200.0,53.2,146.8
Sep-2021,1112.8,781.5,301.5,20.6,0.4,310.3,75.2,235.1
Dec-2021,1024.6,763.4,241.9,21.2,0.8,239.2,61.5,177.8
Mar-2022,1619.3,1329.9,264.7,21.6,8.1,635.9,142.1,493.8
Jun-2022,1214.9,1063.9,125.9,21.3,11.3,118.3,18.2,100.1
