,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,262.9,154.2,107.5,5.9,290.1,-222.7,-2.9,-219.7
Mar-2020,356.6,206.5,146.7,5.6,105.5,-782.5,34.9,-817.4
Jun-2020,299.5,188.9,109.7,5.5,275.6,-237.4,-1.9,-235.4
Sep-2020,285.6,156.6,127.2,5.4,209.1,-215.5,-1.3,-214.2
Dec-2020,365.2,269.7,92.8,5.5,175.2,-429.1,-0.7,-428.4
Mar-2021,517.9,427.8,75.9,5.2,230.7,-402.1,0.0,-402.1
Jun-2021,358.7,250.6,103.0,5.0,156.1,13.4,0.0,13.4
Sep-2021,429.4,295.4,133.0,4.9,171.0,482.5,0.0,482.5
Dec-2021,8.9,5.3,3.5,0.2,19.4,-16.1,0.0,-706.2
Mar-2022,29.1,24.1,4.0,0.2,27.9,-40.0,58.7,-98.7
Jun-2022,23.9,20.2,3.2,0.1,24.8,-21.1,0.0,-21.1
