,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,404.5,328.4,75.7,20.7,13.1,42.3,14.0,28.4
Mar-2020,380.7,308.4,70.6,20.9,13.7,37.7,13.2,24.5
Jun-2020,353.4,300.2,52.5,20.7,9.7,22.8,7.8,15.0
Sep-2020,372.9,302.1,69.8,21.2,8.5,41.0,14.1,26.9
Dec-2020,463.8,372.0,91.3,21.8,8.1,62.0,21.7,40.3
Mar-2021,535.3,423.2,109.3,21.6,10.0,80.6,29.7,50.9
Jun-2021,460.0,361.1,95.7,22.6,8.0,68.3,17.9,50.5
Sep-2021,469.9,378.2,90.9,24.2,8.0,59.6,15.6,44.0
Dec-2021,515.1,421.6,92.9,24.7,7.2,61.6,16.4,45.2
Mar-2022,502.6,441.3,61.0,24.2,8.1,29.0,8.2,20.8
Jun-2022,382.1,356.1,22.7,26.5,11.3,-11.8,-2.9,-8.9
