,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,9948.0,7363.0,2445.0,232.0,25.0,2229.0,613.0,1616.0
Mar-2020,9277.0,6946.0,2065.0,255.0,26.0,1992.0,473.0,1519.0
Jun-2020,10716.0,7916.0,2644.0,242.0,29.0,2411.0,530.0,1881.0
Sep-2020,11593.0,8573.0,2869.0,249.0,29.0,2661.0,652.0,2009.0
Dec-2020,11959.0,9008.0,2854.0,272.0,41.0,2596.0,675.0,1921.0
Mar-2021,12241.0,9175.0,2957.0,249.0,9.0,2822.0,679.0,2143.0
Jun-2021,11982.0,9068.0,2847.0,244.0,11.0,2633.0,572.0,2061.0
Sep-2021,12837.0,9592.0,3132.0,265.0,26.0,2954.0,767.0,2187.0
Dec-2021,13183.0,9813.0,3279.0,255.0,25.0,3024.0,781.0,2243.0
Mar-2022,13584.0,10217.0,3245.0,261.0,36.0,3128.0,801.0,2327.0
Jun-2022,14409.0,11025.0,3247.0,260.0,26.0,3086.0,797.0,2289.0
