,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,5197.9,1362.4,-83.7,0.0,3073.2,-5901.6,173.9,-6075.5
Mar-2020,5484.1,1429.8,102.0,0.0,2910.4,83.5,-7.0,143.8
Jun-2020,5233.6,1250.0,162.4,0.0,2889.5,124.6,3.9,120.7
Sep-2020,5430.6,1283.1,278.2,0.0,2801.2,153.7,5.5,148.1
Dec-2020,5786.5,1333.2,188.5,0.0,2722.0,217.8,4.9,212.9
Mar-2021,6073.8,1695.5,-292.3,0.0,2654.2,343.6,-6.1,349.8
Jun-2021,5155.0,1386.6,110.0,0.0,2566.6,333.9,7.2,326.6
Sep-2021,5375.6,1334.7,298.3,0.0,2621.6,383.0,6.6,376.4
Dec-2021,5383.6,1230.7,341.5,0.0,2625.6,462.0,7.9,454.1
Mar-2022,5718.7,1499.4,110.2,0.0,2605.0,600.2,47.8,552.4
Jun-2022,5028.2,1320.8,432.9,0.0,2681.0,396.0,3.8,392.2
