,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,735.0,450.3,265.7,12.3,2.0,270.4,64.6,205.8
Mar-2020,606.8,385.0,201.9,10.4,2.9,209.0,58.4,150.6
Jun-2020,156.5,175.2,-43.9,9.0,1.7,-29.4,-4.8,-24.6
Sep-2020,108.7,94.1,-5.6,8.9,1.3,46.7,14.0,32.6
Dec-2020,245.2,129.7,94.6,9.6,1.4,104.4,26.3,78.1
Mar-2021,358.3,192.5,145.1,18.7,3.7,139.2,35.4,103.8
Jun-2021,257.9,131.9,111.5,11.2,3.8,111.1,28.6,82.5
Sep-2021,421.1,193.4,211.5,11.8,2.1,213.7,55.1,158.6
Dec-2021,556.5,261.0,279.2,11.8,2.2,281.5,72.7,208.8
Mar-2022,716.8,413.7,277.3,13.0,3.0,283.2,69.4,213.8
Jun-2022,877.0,531.7,320.9,13.6,2.5,329.3,83.8,245.5
