,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1683.2,799.6,866.3,309.5,19.9,554.2,140.1,414.1
Mar-2020,1719.7,818.3,862.8,344.7,15.2,541.5,135.1,406.4
Jun-2020,2070.8,802.0,832.3,297.0,13.3,958.5,135.3,823.2
Sep-2020,1788.1,859.0,906.9,303.2,28.5,597.4,151.5,445.9
Dec-2020,4140.7,2033.0,2026.8,911.8,232.5,963.4,259.1,704.3
Mar-2021,6568.0,3078.7,3412.1,1330.9,361.7,1796.7,431.9,1364.8
Jun-2021,6852.5,3279.2,3516.4,1318.3,376.5,1878.5,461.7,1416.8
Sep-2021,6967.9,3235.2,3640.0,1314.7,383.3,2034.7,474.9,1559.8
Dec-2021,7019.8,4227.2,2698.7,322.9,379.0,2090.7,518.1,1572.6
Mar-2022,7220.5,3053.3,4058.2,1364.4,382.4,2420.4,602.5,1817.9
Jun-2022,6989.8,4574.5,2322.8,1338.7,432.3,644.3,165.4,478.9
