,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,20862.0,14885.0,5179.0,544.0,28.0,5405.0,1329.0,4076.0
Mar-2020,20772.0,15065.0,5122.0,548.0,31.0,5128.0,1059.0,4069.0
Jun-2020,20803.0,14848.0,5477.0,546.0,31.0,5378.0,1370.0,4008.0
Sep-2020,21628.0,14826.0,6220.0,608.0,31.0,6163.0,1666.0,4497.0
Dec-2020,22946.0,15431.0,6612.0,589.0,32.0,6894.0,1811.0,5083.0
Mar-2021,23001.0,16350.0,6147.0,578.0,33.0,6040.0,1581.0,4459.0
Jun-2021,24284.0,17183.0,6531.0,576.0,32.0,6493.0,1770.0,4723.0
Sep-2021,26514.0,18578.0,6884.0,601.0,32.0,7303.0,1840.0,5463.0
Dec-2021,28350.0,19897.0,7440.0,631.0,33.0,7789.0,1919.0,5870.0
Mar-2022,28016.0,20457.0,6969.0,620.0,31.0,6908.0,1731.0,5177.0
Jun-2022,30175.0,22596.0,6931.0,643.0,34.0,6902.0,2001.0,4901.0
