,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,2700.1,2142.7,491.8,54.3,18.5,484.6,118.1,366.5
Mar-2020,2897.5,2290.2,534.9,57.7,19.4,530.2,114.3,415.9
Jun-2020,2829.5,2220.2,544.4,60.7,18.5,530.1,133.1,397.0
Sep-2020,2840.3,2175.3,624.1,72.0,17.6,575.4,145.6,429.8
Dec-2020,3038.7,2294.1,671.4,64.3,17.9,662.4,168.2,494.2
Mar-2021,3078.8,2368.2,664.9,69.9,17.6,623.1,156.7,466.4
Jun-2021,3414.2,2591.8,581.6,65.1,16.4,740.9,165.1,575.8
Sep-2021,3535.5,2774.4,652.3,68.1,16.2,676.8,180.0,496.8
Dec-2021,3942.9,3068.1,774.7,70.7,17.5,786.6,197.4,589.2
Mar-2022,4102.9,3194.6,768.9,84.2,18.0,806.1,206.9,599.2
Jun-2022,4338.3,3428.8,787.9,88.5,15.9,805.1,205.8,599.3
