,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,7463.7,7414.8,46.7,1.3,39.2,10.4,9.4,1.0
Mar-2020,3506.6,3705.3,-208.2,1.7,47.1,-295.5,-24.1,-271.4
Jun-2020,1842.1,1860.7,-20.8,1.4,47.4,-94.3,0.0,-94.3
Sep-2020,5799.7,5783.7,-9.3,1.3,48.1,-20.3,0.0,-20.3
Dec-2020,10545.1,10533.8,8.3,1.2,51.1,-60.7,0.0,-60.7
Mar-2021,8236.8,8259.3,-34.0,1.0,51.9,-918.9,-324.5,-594.4
Jun-2021,4186.4,4196.4,-27.6,1.1,48.3,-81.8,0.0,-81.8
Sep-2021,1421.2,1418.5,-27.9,1.1,50.2,-185.8,0.0,-185.8
Dec-2021,1664.7,1684.3,-20.7,1.2,53.2,-85.5,0.0,-85.5
Mar-2022,1175.4,662.3,508.1,1.1,54.3,473.8,362.5,111.3
Jun-2022,256.8,270.8,-23.1,1.1,111.6,-125.7,0.0,-125.7
