,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,660.2,585.9,69.7,30.8,4.0,46.3,-10.2,56.4
Mar-2020,586.4,511.4,67.2,28.3,2.5,44.2,11.8,32.4
Jun-2020,193.0,233.9,-45.3,19.0,2.0,-62.0,-15.2,-46.7
Sep-2020,624.9,551.3,69.7,31.3,2.8,39.5,11.0,28.5
Dec-2020,760.2,646.0,110.5,29.8,4.6,79.8,19.9,59.8
Mar-2021,855.6,733.8,119.1,29.1,3.2,89.5,165.6,-76.1
Jun-2021,723.7,631.3,86.7,29.3,2.1,61.0,15.7,45.3
Sep-2021,882.4,755.3,123.7,30.9,3.1,93.1,-4.9,98.0
Dec-2021,846.4,741.7,99.1,29.9,3.8,58.2,15.1,43.1
Mar-2022,1086.2,854.2,138.3,31.0,3.5,197.6,28.9,168.7
Jun-2022,1095.4,931.8,154.2,32.5,2.0,129.1,32.0,97.0
