,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,859.5,817.7,40.3,16.9,3.5,21.4,5.7,15.8
Mar-2020,750.7,712.4,34.7,20.2,4.9,13.2,3.5,9.7
Jun-2020,362.9,362.0,-1.9,16.6,3.8,-19.5,-5.2,-14.2
Sep-2020,779.8,737.6,34.3,19.1,3.8,19.3,5.2,14.1
Dec-2020,955.0,906.4,47.3,22.5,4.7,21.3,5.7,15.7
Mar-2021,877.0,832.0,41.2,24.6,4.8,11.5,3.0,8.5
Jun-2021,776.6,735.6,39.4,27.4,5.4,8.1,2.1,6.0
Sep-2021,920.7,872.8,46.3,31.9,6.0,10.0,2.5,7.5
Dec-2021,977.7,935.3,40.9,34.7,6.6,1.1,0.4,0.7
Mar-2022,965.7,907.8,52.9,36.4,8.0,13.5,3.3,10.2
Jun-2022,1071.1,1005.6,63.4,38.4,8.3,18.9,4.8,14.1
