,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,63.9,55.8,6.0,2.2,1.2,4.7,1.8,2.9
Mar-2020,65.3,51.8,10.5,2.3,1.2,10.1,3.2,6.8
Jun-2020,61.5,49.5,9.8,2.2,1.1,8.8,1.9,6.9
Sep-2020,75.7,59.2,10.5,2.2,0.7,11.0,1.8,9.2
Dec-2020,76.2,57.3,13.2,2.2,0.6,16.1,3.9,12.2
Mar-2021,75.4,66.6,2.9,2.6,0.2,6.0,1.4,4.6
Jun-2021,52.4,50.8,-4.2,2.3,0.2,-0.9,-0.3,-0.6
Sep-2021,60.5,54.7,-4.6,2.5,0.3,3.0,-1.3,4.3
Dec-2021,64.9,56.4,2.8,2.4,0.6,5.5,1.0,4.5
Mar-2022,69.4,58.5,5.2,2.3,0.6,8.0,1.4,6.6
Jun-2022,70.7,66.8,-2.0,2.4,0.4,1.2,0.3,0.8
