,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,526.8,446.8,71.5,8.8,2.0,69.1,16.4,52.7
Mar-2020,403.4,348.4,41.8,8.5,1.9,32.6,6.5,26.1
Jun-2020,139.1,126.0,1.1,8.0,2.0,3.1,1.4,1.6
Sep-2020,433.4,360.8,62.8,8.0,2.2,62.4,15.2,47.2
Dec-2020,620.8,506.0,98.7,8.3,2.2,104.3,26.3,78.0
Mar-2021,548.0,463.8,70.2,8.2,2.3,73.7,19.4,54.4
Jun-2021,340.4,307.1,18.6,7.4,2.5,23.4,4.2,19.2
Sep-2021,602.1,496.1,89.5,7.7,1.7,96.6,25.2,71.4
Dec-2021,673.4,578.7,70.7,8.7,2.2,83.7,24.4,59.4
Mar-2022,578.8,508.7,55.0,8.6,0.7,60.8,13.5,47.4
Jun-2022,530.6,469.5,44.9,7.3,2.3,51.6,13.3,38.3
