,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,111.8,54.2,37.0,0.6,8.4,48.6,0.1,48.4
Mar-2020,78.5,69.9,5.8,0.7,8.1,-0.2,-0.2,-0.0
Jun-2020,27.6,18.5,5.1,0.7,7.8,0.6,0.8,-0.2
Sep-2020,125.0,85.8,20.6,0.7,9.8,28.7,0.0,28.7
Dec-2020,116.9,82.5,32.0,0.7,10.6,23.1,6.2,16.9
Mar-2021,69.1,54.8,10.0,0.8,11.1,-3.8,-0.3,-3.4
Jun-2021,49.8,37.9,9.6,0.8,10.0,1.2,-0.1,1.3
Sep-2021,52.6,35.9,12.9,0.9,10.7,5.1,0.4,4.6
Dec-2021,68.4,53.0,15.3,0.9,12.4,2.1,0.3,1.8
Mar-2022,61.1,41.4,13.6,1.1,12.6,6.1,0.9,5.1
Jun-2022,42.9,28.3,12.5,1.1,12.9,0.6,-0.0,0.6
