,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1933.5,1192.9,739.4,188.4,378.4,-2.9,-23.6,6.9
Mar-2020,1850.6,1152.3,612.1,172.2,359.6,-157.2,-219.0,-309.9
Jun-2020,1502.5,909.2,503.2,163.2,391.0,95.2,27.5,44.9
Sep-2020,1782.7,1090.1,460.2,167.4,387.2,242.0,77.8,145.0
Dec-2020,2357.5,1157.7,499.9,168.3,366.4,552.8,63.4,574.5
Mar-2021,1786.9,1206.6,353.7,170.0,374.2,178.6,-67.7,157.0
Jun-2021,2244.9,1278.2,540.2,146.7,388.5,401.5,203.4,198.0
Sep-2021,2364.9,1341.1,497.6,149.8,356.1,2095.2,220.1,1875.1
Dec-2021,2202.1,1602.8,544.4,147.3,365.2,98.5,49.8,48.7
Mar-2022,5016.2,2867.9,252.1,287.3,527.8,1320.7,-967.6,2288.3
Jun-2022,5550.5,4720.8,108.1,290.6,562.9,417.4,-4.0,421.4
