,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,433.9,374.9,57.2,19.4,5.3,34.3,7.8,26.6
Mar-2020,316.5,298.1,9.8,19.2,4.8,-5.5,0.0,-5.6
Jun-2020,59.4,92.1,-51.8,18.2,6.2,-57.1,-15.4,-41.7
Sep-2020,117.7,124.5,-22.9,15.8,7.5,-30.1,-7.8,-22.3
Dec-2020,240.2,226.4,3.6,15.5,7.8,-9.4,-0.8,-8.7
Mar-2021,257.6,251.8,-10.4,15.2,6.9,-16.3,-4.4,-11.9
Jun-2021,218.4,191.5,10.3,15.2,6.9,4.7,1.2,3.5
Sep-2021,341.1,291.3,33.6,14.6,6.0,29.1,5.5,23.6
Dec-2021,397.9,341.6,45.3,14.4,4.9,37.0,9.5,27.5
Mar-2022,351.7,320.2,23.4,13.9,4.7,13.0,3.9,9.1
Jun-2022,604.9,492.3,70.9,14.9,5.6,107.1,24.2,82.8
