,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,707.5,601.4,92.7,14.2,1.1,90.8,23.1,67.7
Mar-2020,638.7,638.6,-11.3,15.3,0.9,-16.1,9.7,-25.8
Jun-2020,326.6,365.4,-45.9,14.5,0.8,-54.2,-14.3,-39.9
Sep-2020,653.9,541.0,106.8,16.1,0.4,96.3,25.6,70.7
Dec-2020,690.3,602.9,80.9,15.2,0.9,71.3,18.7,52.7
Mar-2021,776.8,673.6,95.6,13.8,0.3,89.0,23.3,65.7
Jun-2021,696.6,644.1,44.4,14.3,0.6,37.6,9.7,28.0
Sep-2021,785.2,684.2,92.7,12.8,0.7,87.5,22.6,64.9
Dec-2021,769.8,664.8,98.8,13.2,0.5,91.2,23.5,67.7
Mar-2022,857.9,699.7,149.4,12.9,1.9,143.4,37.8,105.6
Jun-2022,900.7,778.6,111.2,13.9,0.5,107.7,27.5,80.2
