,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,929.2,843.1,-2.4,0.8,49.7,35.5,9.3,26.2
Mar-2020,140.9,71.4,-15.4,0.8,55.1,13.6,-51.1,64.7
Jun-2020,253.2,164.8,-5.1,0.9,46.4,176.1,38.6,137.5
Sep-2020,146.2,59.4,-13.3,1.0,62.3,23.5,0.6,23.0
Dec-2020,363.3,216.5,16.9,1.1,74.4,71.2,1.5,69.7
Mar-2021,2229.0,1988.0,46.0,1.0,74.0,153.0,18.0,135.0
Jun-2021,1551.0,1421.0,25.0,2.0,92.0,36.0,-1.0,37.0
Sep-2021,4961.0,4832.0,16.0,1.0,78.0,91.0,-10.0,101.0
Dec-2021,2380.0,2147.0,122.0,2.0,317.0,-86.0,-7.0,-79.0
Mar-2022,2218.0,2098.0,11.0,2.0,288.0,-170.0,-54.0,-116.0
Jun-2022,2549.0,2308.0,-141.0,2.0,107.0,132.0,0.0,132.0
