,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,13338.1,2486.3,1631.7,0.0,6716.9,119.7,14.2,105.5
Mar-2020,12215.8,2828.2,964.8,0.0,6735.0,-5489.4,-1918.0,-3571.4
Jun-2020,11941.5,2343.9,1137.2,0.0,6753.1,1332.5,488.9,843.6
Sep-2020,12408.7,2628.8,1484.5,0.0,6682.2,785.4,259.6,525.8
Dec-2020,12310.9,2971.7,767.8,0.0,6503.6,855.6,314.8,540.7
Mar-2021,11379.8,2894.7,41.1,0.0,6390.7,263.3,13.1,250.2
Jun-2021,11698.1,2715.2,429.4,0.0,6176.7,1097.1,377.1,720.0
Sep-2021,11658.6,2982.2,541.3,0.0,5998.8,1783.8,732.8,1051.0
Dec-2021,11211.1,3147.4,260.5,0.0,5968.0,1760.8,733.4,1027.5
Mar-2022,11443.5,3107.6,878.5,0.0,5870.2,925.0,318.8,606.3
Jun-2022,11124.4,3041.3,1031.1,0.0,5900.2,861.1,299.6,561.5
