,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,889.1,707.5,169.9,57.9,25.6,98.1,35.0,57.4
Mar-2020,806.0,676.7,109.9,57.4,29.0,42.9,-73.7,114.0
Jun-2020,412.8,365.3,34.2,56.7,25.6,-34.9,-12.1,-26.9
Sep-2020,628.3,543.0,68.1,57.3,21.6,6.5,1.7,0.4
Dec-2020,809.9,680.8,91.0,57.8,20.6,50.7,-2.4,48.0
Mar-2021,839.2,735.2,93.1,57.2,20.5,26.3,11.4,10.0
Jun-2021,857.9,721.0,121.0,56.4,18.4,62.1,22.0,35.9
Sep-2021,1040.1,880.1,132.8,57.4,18.2,84.3,29.9,66.2
Dec-2021,1075.9,939.4,125.3,58.2,18.2,60.0,21.5,38.5
Mar-2022,1223.1,1051.7,158.0,56.0,20.2,95.2,28.5,66.7
Jun-2022,1198.3,1027.2,160.6,55.2,18.8,97.0,34.0,63.1
