,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,2274.9,393.0,1745.8,31.4,1192.4,522.1,133.6,388.5
Mar-2020,2151.4,374.9,1219.7,26.6,1135.9,57.3,14.7,42.7
Jun-2020,2113.7,321.1,1736.4,24.8,1130.7,581.0,150.1,430.9
Sep-2020,2439.8,330.6,1788.2,24.5,1185.2,582.0,150.1,431.9
Dec-2020,2504.9,344.5,1715.8,24.3,1140.4,551.1,142.2,408.9
Mar-2021,2461.3,489.0,1468.6,24.7,1119.7,324.4,81.2,243.2
Jun-2021,2467.0,346.6,1568.3,23.9,1103.8,440.7,113.9,326.8
Sep-2021,2470.7,495.3,1916.9,22.7,1077.8,816.5,210.0,606.5
Dec-2021,2530.2,508.3,1773.5,23.4,1046.0,704.3,180.5,523.8
Mar-2022,2631.8,621.2,1976.6,27.4,1071.2,929.4,239.8,689.6
Jun-2022,2770.9,552.7,1893.7,27.0,1130.9,761.7,196.1,565.7
