,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,442.4,296.8,101.1,25.3,3.7,116.6,24.1,92.5
Mar-2020,373.7,287.4,30.5,25.5,3.7,26.0,27.0,-1.0
Jun-2020,410.5,264.8,75.3,26.0,3.5,116.2,25.3,90.9
Sep-2020,368.5,262.6,87.7,24.6,3.2,78.1,12.7,65.4
Dec-2020,373.7,252.6,97.9,23.5,5.0,92.6,16.9,75.7
Mar-2021,347.0,245.4,82.2,22.2,2.9,65.1,19.0,46.1
Jun-2021,416.2,268.9,119.5,24.7,2.6,120.0,28.5,91.5
Sep-2021,445.7,310.6,118.8,24.4,2.5,108.2,24.3,83.9
Dec-2021,479.7,311.6,144.3,24.6,2.6,140.9,34.6,106.3
Mar-2022,684.2,346.6,130.2,23.0,2.7,311.9,24.5,287.4
Jun-2022,537.5,393.5,115.3,28.5,3.3,112.2,29.1,83.1
