,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,3738.2,819.0,336.0,0.0,2175.4,583.0,142.3,440.6
Mar-2020,4107.9,967.8,248.2,0.0,2180.8,391.8,90.6,301.2
Jun-2020,3932.5,852.4,444.0,0.0,2147.7,537.8,137.0,400.8
Sep-2020,3997.2,882.6,497.2,0.0,2108.1,414.5,106.8,307.6
Dec-2020,3941.4,956.0,481.1,0.0,2022.5,542.3,138.2,404.1
Mar-2021,3831.7,1000.7,419.7,0.0,1946.0,642.8,164.9,477.8
Jun-2021,4005.9,933.4,485.0,0.0,1937.3,493.4,126.1,367.3
Sep-2021,3823.6,1059.0,420.4,0.0,1899.8,619.5,159.2,460.3
Dec-2021,3926.8,1108.8,430.1,0.0,1903.7,700.3,178.6,521.7
Mar-2022,3948.2,1192.0,333.2,0.0,1958.0,723.0,182.4,540.5
Jun-2022,4081.5,1083.8,520.8,0.0,2024.3,806.7,206.0,600.7
