,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,794.9,654.0,124.7,18.3,3.0,-617.3,26.8,-644.1
Mar-2020,791.0,601.8,174.1,22.6,1.5,176.4,38.5,137.9
Jun-2020,706.4,534.3,114.3,21.8,1.1,149.3,38.3,111.0
Sep-2020,888.3,674.4,205.0,22.0,0.9,127.0,50.5,76.5
Dec-2020,872.3,651.6,206.8,17.7,0.9,212.5,55.2,157.3
Mar-2021,836.9,638.5,168.8,17.9,0.6,60.9,48.2,12.7
Jun-2021,805.2,622.8,150.7,17.7,0.8,163.9,43.5,120.4
Sep-2021,1006.6,717.1,274.4,17.6,0.3,271.5,68.8,202.7
Dec-2021,818.5,611.3,196.7,17.9,0.6,170.8,33.2,149.6
Mar-2022,810.9,618.5,173.4,15.3,0.3,206.2,262.1,1217.8
Jun-2022,757.2,581.5,147.9,15.8,0.7,159.2,43.6,118.7
