,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,502.3,424.1,57.6,17.6,52.0,8.7,0.0,8.7
Mar-2020,480.3,407.5,58.7,17.7,53.4,1.0,-0.1,1.1
Jun-2020,276.1,278.4,-11.0,17.1,51.6,-71.1,0.0,-71.1
Sep-2020,555.6,440.9,95.9,17.8,58.3,39.9,0.0,39.9
Dec-2020,520.9,475.8,27.9,18.2,61.8,-34.9,0.0,-34.9
Mar-2021,567.0,523.6,23.9,19.1,65.8,-41.5,-0.1,-41.5
Jun-2021,691.0,630.0,34.0,18.6,78.8,-36.3,0.0,-36.3
Sep-2021,900.8,737.9,150.5,18.8,87.5,59.2,0.0,59.2
Dec-2021,952.6,811.5,126.6,18.9,98.8,-25.7,0.0,-25.7
Mar-2022,869.8,776.4,72.8,18.5,98.8,-41.4,0.0,-41.4
Jun-2022,1062.2,880.5,168.3,18.2,105.2,58.3,0.0,58.3
