,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,423.7,233.2,42.3,4.2,71.6,114.7,45.0,69.7
Mar-2020,935.7,699.3,81.6,4.6,62.5,169.3,73.7,95.6
Jun-2020,205.9,116.3,-64.1,3.7,63.1,22.8,16.4,6.4
Sep-2020,228.8,131.5,-74.0,4.0,62.5,30.7,19.8,10.9
Dec-2020,240.3,142.5,-69.6,4.1,57.0,36.6,28.3,8.4
Mar-2021,569.7,516.9,-129.1,4.4,51.9,-3.5,62.6,-66.2
Jun-2021,230.4,90.8,-60.4,4.2,55.1,80.3,23.6,56.7
Sep-2021,340.3,160.3,-46.0,4.3,56.0,119.7,30.4,89.2
Dec-2021,470.2,243.5,0.6,4.5,55.6,166.5,40.6,125.9
Mar-2022,1302.2,883.1,201.6,4.7,66.5,348.0,93.0,255.0
Jun-2022,439.3,192.0,22.1,4.5,56.2,186.6,46.1,140.5
