,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,409.9,336.5,63.8,13.9,1.0,58.5,14.2,44.3
Mar-2020,371.7,300.1,57.6,13.7,1.4,56.5,11.8,44.7
Jun-2020,256.4,211.2,19.2,12.0,0.8,32.4,4.0,28.5
Sep-2020,445.4,345.9,91.9,13.3,0.7,85.5,21.9,63.7
Dec-2020,462.1,358.5,98.7,13.3,0.8,89.5,22.7,66.9
Mar-2021,520.0,393.5,114.0,13.2,1.0,112.1,29.1,83.1
Jun-2021,451.8,349.4,88.2,13.4,0.5,88.5,22.7,65.8
Sep-2021,522.5,410.6,101.9,12.8,0.7,98.5,25.2,73.3
Dec-2021,516.9,410.4,89.3,12.4,0.8,93.3,23.1,70.2
Mar-2022,567.5,433.5,122.4,12.7,2.0,119.3,30.6,88.7
Jun-2022,626.9,490.6,125.4,12.8,0.4,123.1,31.5,91.6
