,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,101.4,81.8,17.5,1.8,2.8,15.0,4.2,10.8
Mar-2020,102.0,81.9,17.2,1.9,2.9,15.3,4.5,10.8
Jun-2020,71.8,58.3,11.5,2.0,2.7,8.8,2.6,6.2
Sep-2020,110.9,90.5,18.4,2.1,2.5,15.8,4.5,11.3
Dec-2020,118.2,90.0,25.1,2.1,2.2,23.8,6.9,16.9
Mar-2021,131.8,104.6,22.3,2.1,2.1,23.0,5.1,17.9
Jun-2021,114.7,90.7,21.7,2.1,2.1,19.8,5.6,14.2
Sep-2021,112.9,90.8,19.3,2.2,2.2,17.8,4.7,13.1
Dec-2021,134.3,106.1,22.4,2.3,2.8,23.0,6.2,16.8
Mar-2022,160.5,133.4,24.2,2.5,4.2,20.3,2.6,17.6
Jun-2022,143.6,119.7,21.2,2.9,3.4,17.7,4.6,13.0
