,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,584.0,434.0,130.7,43.2,14.2,92.6,23.9,73.4
Mar-2020,602.8,444.4,122.2,52.1,17.3,89.1,19.3,84.0
Jun-2020,549.7,437.7,88.5,47.3,16.2,48.5,17.0,31.5
Sep-2020,597.3,456.5,133.1,44.9,15.9,80.0,41.0,39.0
Dec-2020,629.3,466.4,162.0,49.3,15.2,98.4,25.9,72.5
Mar-2021,641.9,485.8,132.9,45.8,14.1,96.1,31.7,64.3
Jun-2021,650.8,479.0,147.2,46.1,14.0,111.7,33.6,78.0
Sep-2021,685.3,502.1,143.5,44.8,14.8,127.8,29.9,97.9
Dec-2021,151.7,170.8,-20.5,9.9,2.5,-31.5,-10.7,114.9
Mar-2022,239.8,165.9,-0.6,12.6,5.6,55.7,19.3,2140.4
Jun-2022,294.1,148.9,22.9,16.7,2.8,125.6,36.0,89.7
