,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,213.7,177.1,-40.0,2.3,67.6,-33.3,0.3,-33.6
Mar-2020,286.5,107.3,106.7,2.1,65.5,111.5,10.0,101.5
Jun-2020,12.8,14.6,-14.6,2.2,68.4,-72.4,-0.1,-72.3
Sep-2020,15.1,2.7,-2.7,1.0,43.7,-32.3,0.3,-32.6
Dec-2020,4.0,1.9,-1.9,0.4,32.6,-30.9,0.1,-31.0
Mar-2021,15.2,3.3,2.6,0.2,15.4,-3.7,0.1,-3.8
Jun-2021,3.4,6.4,-6.4,0.2,11.9,-15.1,0.1,-15.2
Sep-2021,2.3,3.6,-3.6,0.2,10.4,-11.9,-0.1,-11.8
Dec-2021,2.8,3.7,-3.7,0.6,11.0,-12.5,1.3,-13.8
Mar-2022,2.0,4.0,-4.0,0.9,12.8,-15.7,-0.2,-15.5
Jun-2022,3.4,6.9,-6.9,0.6,10.6,-14.6,0.1,-14.7
