,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,8077.0,2382.9,1046.6,0.0,3306.1,1944.1,348.2,1595.9
Mar-2020,8294.1,2323.8,1235.9,0.0,3245.0,1677.8,411.2,1266.6
Jun-2020,7685.4,1873.7,1850.2,0.0,3188.0,1661.7,417.2,1244.5
Sep-2020,8288.1,2067.8,1845.5,0.0,2922.8,2928.9,744.4,2184.5
Dec-2020,8124.9,2257.9,1749.0,0.0,2783.7,2484.3,630.8,1853.5
Mar-2021,8398.4,2384.8,1458.0,0.0,2606.1,2228.1,545.7,1682.4
Jun-2021,8062.8,2403.6,1538.0,0.0,2538.1,2186.3,544.4,1641.9
Sep-2021,8408.9,2713.0,1307.6,0.0,2575.7,2696.2,664.2,2032.0
Dec-2021,8260.5,2997.0,1337.3,0.0,2562.5,2832.7,701.4,2131.4
Mar-2022,8892.3,3007.8,1513.6,0.0,2544.5,3646.1,878.7,2767.4
Jun-2022,8582.2,3157.5,1539.5,0.0,2641.4,2759.7,688.5,2071.2
