,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,337.5,312.2,3.0,12.6,0.0,10.7,4.2,6.5
Mar-2020,417.2,393.8,-2.6,12.5,0.1,10.7,3.7,7.0
Jun-2020,189.2,197.2,-26.6,12.7,0.0,-23.0,-3.8,-19.2
Sep-2020,394.8,365.6,13.7,12.9,0.0,9.6,1.6,7.9
Dec-2020,498.8,438.1,38.6,13.1,0.0,46.7,13.4,33.4
Mar-2021,686.1,620.0,43.1,12.9,0.1,40.9,15.5,25.3
Jun-2021,455.1,430.4,5.6,13.4,0.0,-5.8,3.4,-9.2
Sep-2021,807.9,725.0,67.4,13.8,0.0,69.1,22.3,46.8
Dec-2021,906.2,804.3,79.3,14.2,0.1,87.7,24.2,63.5
Mar-2022,983.3,882.9,76.7,14.5,0.0,86.0,7.4,78.6
Jun-2022,996.6,892.8,79.3,15.4,0.0,88.3,21.5,66.8
