,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Mar-2020,1855.8,1507.0,228.1,85.3,187.7,-109.1,-48.6,-60.6
Jun-2020,268.5,360.5,-121.9,13.9,171.0,-276.9,-98.0,-178.8
Sep-2020,618.4,515.7,59.6,14.6,223.8,-595.8,-208.6,-387.3
Dec-2020,807.4,611.4,154.2,15.0,200.3,-19.3,-0.1,-19.3
Mar-2021,2751.8,1826.8,893.3,13.8,222.8,688.3,288.7,399.6
Jun-2021,1563.2,1159.5,354.9,12.1,148.1,243.6,62.8,180.7
Sep-2021,1979.6,1618.2,341.8,12.0,70.2,279.4,72.1,207.3
Dec-2021,1429.2,1060.6,337.2,14.0,70.4,284.2,75.4,208.8
Mar-2022,3367.4,2493.6,823.5,14.3,106.4,753.1,249.3,503.8
Jun-2022,2253.2,1860.2,379.2,21.2,198.6,173.3,34.7,138.7
