,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,49.3,38.9,-2.3,2.8,0.1,3.0,0.1,2.9
Mar-2020,55.9,37.8,2.6,2.4,0.1,15.2,3.1,12.1
Jun-2020,47.7,36.7,3.9,2.6,0.1,8.3,10.2,-1.9
Sep-2020,46.2,41.8,0.3,2.6,0.1,-5.4,-1.1,-4.3
Dec-2020,65.7,40.0,5.6,3.1,0.1,22.5,5.3,17.1
Mar-2021,62.4,51.2,7.7,2.4,0.2,8.6,3.0,5.5
Jun-2021,65.5,52.5,7.1,2.7,0.1,10.2,4.9,5.3
Sep-2021,90.0,53.8,7.3,3.0,0.2,37.8,3.7,34.1
Dec-2021,76.1,53.3,14.3,3.1,0.1,20.9,5.4,15.5
Mar-2022,98.7,63.3,5.2,3.6,0.1,24.8,4.8,20.1
Jun-2022,73.9,61.3,9.1,3.5,0.2,3.2,3.3,-0.1
