,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,887.4,377.1,458.5,21.1,1.6,487.6,116.9,370.7
Mar-2020,951.1,406.0,500.3,21.1,3.0,521.0,18.0,503.0
Jun-2020,1041.8,398.8,605.1,20.8,1.4,620.8,165.2,455.6
Sep-2020,879.3,353.5,502.9,21.1,1.2,503.5,124.9,378.6
Dec-2020,914.8,367.2,520.9,20.1,1.2,526.3,134.4,391.9
Mar-2021,925.8,369.3,527.5,18.2,1.0,537.3,124.1,413.2
Jun-2021,1069.1,400.7,640.5,17.9,1.0,649.5,169.8,479.7
Sep-2021,972.9,408.4,548.3,18.2,2.5,543.8,140.4,403.4
Dec-2021,966.9,426.6,513.3,17.2,3.6,519.6,131.5,388.1
Mar-2022,1143.2,465.0,493.4,14.7,0.3,663.2,123.2,540.1
Jun-2022,1090.3,488.0,570.8,14.4,0.9,587.1,147.8,439.2
