,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,125.3,53.6,66.3,10.9,19.6,41.3,8.2,33.1
Mar-2020,101.9,41.9,56.3,14.3,19.1,26.6,6.5,20.1
Jun-2020,45.0,13.3,26.9,11.5,19.4,0.8,0.1,0.8
Sep-2020,54.0,24.5,20.4,11.5,17.0,1.0,0.2,0.7
Dec-2020,350.6,34.4,46.2,10.2,13.3,292.6,9.9,282.8
Mar-2021,97.1,53.5,30.0,9.1,12.7,21.8,13.8,8.0
Jun-2021,74.7,23.2,16.1,6.8,15.7,237.9,3.2,234.7
Sep-2021,74.7,34.0,25.9,7.1,15.5,18.1,2.7,15.4
Dec-2021,99.1,28.3,57.5,7.2,14.6,73.2,10.9,62.3
Mar-2022,128.8,38.2,64.8,7.5,17.8,65.4,7.9,57.5
Jun-2022,152.4,38.6,73.6,7.1,14.6,92.1,8.9,83.2
