,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,80.4,67.6,12.7,1.6,1.7,9.5,2.3,7.2
Mar-2020,89.4,70.5,18.8,1.3,2.1,15.5,3.4,12.2
Jun-2020,35.2,32.5,2.7,1.6,1.5,-0.4,-0.2,-0.2
Sep-2020,308.1,261.4,38.1,17.5,6.9,22.4,6.0,16.4
Dec-2020,323.3,274.3,47.1,17.5,5.2,26.2,6.8,19.4
Mar-2021,351.0,275.4,71.2,17.2,1.7,79.8,20.4,59.4
Jun-2021,337.0,273.8,58.9,18.1,4.5,40.6,10.3,30.3
Sep-2021,297.8,250.5,38.4,17.5,4.8,19.7,5.0,14.7
Dec-2021,401.5,341.3,49.5,17.8,6.3,33.9,8.6,25.3
Mar-2022,387.8,330.2,48.8,19.6,8.2,42.4,11.0,31.4
Jun-2022,373.5,314.6,55.5,21.3,10.1,27.6,7.1,20.5
