,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,168.8,139.6,27.7,3.0,0.0,26.2,6.6,19.6
Mar-2020,163.2,134.1,27.5,3.0,0.0,26.1,6.8,19.4
Jun-2020,117.2,101.0,14.5,3.2,0.0,13.1,3.5,9.6
Sep-2020,180.8,149.9,29.1,3.4,0.0,27.5,7.1,20.4
Dec-2020,200.4,164.8,34.8,3.6,0.0,32.0,7.9,24.1
Mar-2021,411.0,341.5,64.8,7.8,3.9,57.9,15.5,42.4
Jun-2021,431.9,354.3,74.0,7.7,2.6,67.3,17.5,49.8
Sep-2021,432.2,366.2,65.2,8.2,-0.9,58.7,15.9,42.8
Dec-2021,545.6,436.4,106.1,8.5,0.8,99.9,24.0,75.9
Mar-2022,590.5,451.4,137.1,9.2,-0.3,130.1,30.8,99.3
Jun-2022,604.7,485.4,115.1,9.1,-0.1,110.2,28.3,81.9
