,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1659.1,1301.8,350.1,92.5,43.7,221.1,-90.6,311.8
Mar-2020,1653.6,1322.0,324.5,93.3,43.5,194.7,20.1,174.6
Jun-2020,1308.9,1024.5,273.2,93.6,38.6,152.2,43.1,109.1
Sep-2020,1768.0,1285.5,471.0,96.7,30.8,355.1,106.8,248.3
Dec-2020,1835.3,1346.0,464.9,96.8,22.8,369.7,113.1,256.6
Mar-2021,2139.4,1590.9,532.3,96.5,19.0,432.9,121.9,311.0
Jun-2021,2220.0,1674.9,524.9,100.9,23.2,420.9,129.3,291.6
Sep-2021,2308.1,1732.6,558.6,105.3,18.9,451.2,139.5,311.7
Dec-2021,2681.1,1937.5,727.6,106.8,23.9,612.8,209.5,403.2
Mar-2022,2808.2,2003.5,793.7,106.2,28.4,670.1,169.6,500.5
Jun-2022,3119.0,2260.7,842.2,105.2,26.8,726.3,217.9,508.4
