,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,242.4,168.6,61.6,5.2,2.6,66.1,16.9,49.1
Mar-2020,277.2,180.5,41.3,5.3,2.9,88.6,9.5,79.1
Jun-2020,180.7,128.0,54.1,4.8,2.5,45.3,11.9,33.5
Sep-2020,210.9,134.7,74.4,4.8,2.4,69.0,16.8,52.1
Dec-2020,226.6,135.8,57.2,4.7,2.4,83.7,29.4,54.3
Mar-2021,208.0,148.7,48.4,4.6,2.4,52.3,13.2,39.1
Jun-2021,230.9,149.6,39.3,4.6,2.5,74.2,14.3,59.9
Sep-2021,253.2,147.7,41.4,4.2,2.1,99.1,11.8,87.4
Dec-2021,229.8,157.6,28.3,4.3,2.2,65.8,9.5,56.2
Mar-2022,208.5,161.0,33.3,4.4,2.0,41.1,9.5,31.6
Jun-2022,285.1,178.0,40.5,4.4,1.9,100.8,11.1,89.7
