,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,76797.9,18662.2,9116.6,0.0,39913.2,10969.7,5386.3,5583.4
Mar-2020,76027.5,20379.2,2387.7,0.0,39914.5,4970.0,1389.2,3580.8
Jun-2020,74457.9,18077.7,8563.9,0.0,39858.8,5559.8,1370.4,4189.3
Sep-2020,75341.8,20249.4,7932.1,0.0,38632.6,6341.4,1767.3,4574.2
Dec-2020,75980.6,20732.9,8087.0,0.0,37914.6,6990.8,1794.5,5196.2
Mar-2021,81327.0,23592.2,3474.8,0.0,38034.6,8649.1,2198.4,6450.8
Jun-2021,77367.2,20466.3,7172.1,0.0,37926.0,8922.9,2418.9,6504.0
Sep-2021,77689.1,21312.4,9871.5,0.0,38297.6,10471.9,2845.4,7626.6
Dec-2021,78351.5,20839.2,9848.2,0.0,38990.7,11547.7,3115.8,8431.9
Mar-2022,82613.4,23361.2,7836.7,0.0,39535.4,12479.4,3365.8,9113.5
Jun-2022,74988.6,20755.6,10440.4,0.0,41480.4,8360.2,2292.1,6068.1
