,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,20.3,73.3,-53.7,2.2,0.3,-55.5,0.0,-55.5
Mar-2020,25.8,121.1,-98.4,2.7,1.6,-99.5,0.0,-99.5
Jun-2020,186.1,124.7,60.8,2.8,2.0,56.7,0.0,56.7
Sep-2020,20.5,100.0,-82.4,2.8,1.2,-83.5,0.0,-83.5
Dec-2020,23.4,84.8,-63.0,2.8,3.5,-67.6,0.0,-67.6
Mar-2021,28.4,78.5,-50.4,2.6,4.0,-56.7,0.0,-56.7
Jun-2021,22.8,76.3,-54.3,2.5,5.4,-61.4,0.0,-61.4
Sep-2021,33.9,83.0,-55.2,2.5,3.4,-55.1,0.0,-55.1
Dec-2021,62.5,73.4,-11.3,2.6,2.3,-15.8,0.0,-15.8
Mar-2022,25.5,91.8,-66.5,2.5,2.2,-71.0,0.0,-71.0
Jun-2022,28.6,106.7,-78.2,2.7,1.6,-82.3,0.0,-82.3
