,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1785.2,1515.1,207.8,83.0,28.6,158.5,-30.4,188.9
Mar-2020,1531.0,1281.7,209.5,84.8,34.6,129.9,-3.1,133.1
Jun-2020,812.8,775.1,-4.0,85.6,33.1,-81.0,-22.6,-58.4
Sep-2020,1583.4,1398.9,134.0,87.8,27.3,69.3,19.8,49.6
Dec-2020,1718.6,1415.9,250.9,88.1,23.3,191.3,46.9,144.4
Mar-2021,1862.2,1458.4,358.3,88.6,27.7,287.5,72.7,214.8
Jun-2021,1916.7,1419.9,454.1,87.8,25.6,383.4,93.6,289.8
Sep-2021,2371.1,1657.6,649.0,88.0,23.4,602.1,148.3,453.8
Dec-2021,2684.2,1863.1,590.8,88.8,21.5,710.9,140.9,570.0
Mar-2022,2690.1,2135.3,506.6,90.8,28.8,435.1,112.4,322.7
Jun-2022,2753.3,2220.1,510.9,91.8,26.2,415.2,101.9,313.4
