,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,68.8,49.6,-7.0,0.7,34.6,-16.1,-12.2,-3.9
Mar-2020,64.9,36.7,-2.4,1.0,34.5,-7.4,-1.7,-5.6
Jun-2020,37.1,25.1,-14.3,0.8,34.6,-23.4,-6.0,-17.4
Sep-2020,50.4,36.5,-13.3,0.9,34.9,-21.8,0.0,-21.8
Dec-2020,45.3,45.4,-7.7,0.9,4.9,-132.9,0.0,-132.9
Mar-2021,47.8,56.6,-14.4,0.9,0.3,-10.0,0.0,-10.0
Jun-2021,36.8,46.9,-14.3,0.7,0.5,-11.2,0.0,-11.2
Sep-2021,56.3,57.1,-4.8,0.7,0.5,-2.0,0.0,-2.0
Dec-2021,74.6,60.8,10.1,0.7,0.5,12.6,0.0,12.6
Mar-2022,64.0,56.8,3.6,0.8,0.5,5.9,-7.5,13.4
Jun-2022,65.5,56.4,5.4,0.7,0.5,8.0,0.0,8.0
