Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,352.9,365.2,342.9,325.5,272,291.3,310,270.4,233.6,235,239.3
Operating Expenses Qtr Cr,96.4,98.7,85.3,80.6,62.3,68.8,61.2,58.3,47.8,59.4,57.3
Operating Profit Qtr Cr,255.5,276.8,246,239.5,192.6,213.7,232.6,204.1,179.7,168.7,180.6
Operating Profit Margin Qtr %,72.42%,75.83%,71.82%,73.72%,70.85%,73.84%,75.05%,75.47%,76.96%,71.97%,75.48%
Depreciation Qtr Cr,6.2,7.3,5.7,5.8,5,5.4,5.3,5.1,4.8,5.5,5.4
Interest Qtr Cr,134.7,123.7,125.1,116,112.8,115.2,116.9,114.4,111.8,97.4,94.9
Profit Before Tax Qtr Cr,114.7,146.1,115.5,118.3,74.9,95,110.5,84.6,63.2,66.4,80.4
Tax Qtr Cr,25.4,30.4,26.4,26.2,15,7.4,24.9,18.4,13.1,6.4,12.5
Net Profit Qtr Cr,89.2,115.7,89.1,92.1,59.9,87.6,85.6,66.2,50.1,59.9,67.9
Basic EPS Qtr Rs,11.3,14.7,11.3,11.7,7.5,11.2,10.9,8.4,6.4,7.7,8.7
