Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,73.4,75.9,65.5,66.8,73.7,73.2,80.9,74.1,62.1,69.7,66.5
Operating Expenses Qtr Cr,60.6,55.4,51.2,47.3,46.3,48.7,52.3,43.7,38.2,45.5,42.2
Operating Profit Qtr Cr,11.5,15.4,13.2,17.6,26.4,21.9,26.9,28.6,23.2,22.9,19.3
Operating Profit Margin Qtr %,15.90%,21.74%,20.51%,27.18%,36.31%,31.06%,33.97%,39.61%,37.73%,33.52%,31.38%
Depreciation Qtr Cr,2.4,2.5,2.5,2.3,2.3,2.4,2.2,2.2,2.1,2.3,2.2
Interest Qtr Cr,0,0.1,0,0,0,0,0,0,0,0.4,0.2
Profit Before Tax Qtr Cr,10.3,18,11.8,17.2,25.1,22.1,26.4,28.2,21.7,21.6,21.8
Tax Qtr Cr,2.5,3.6,3,4.4,6.5,6.8,6.1,8.1,6.4,5.6,4.3
Net Profit Qtr Cr,7.8,14.4,8.8,12.8,18.5,15.2,20.3,20.1,15.3,16,17.5
Basic EPS Qtr Rs,0.7,1.3,0.8,1.1,1.7,1.4,1.8,1.8,1.4,1.4,1.6
