Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1177.2,480.3,520.6,264.7,224.9,306.4,205.5,164.2,111.1,263.6,218.8
Operating Expenses Qtr Cr,550.7,357.2,226.9,169.9,147.7,190.4,142.5,115.5,102,212.4,191.6
Operating Profit Qtr Cr,92.5,76.8,90,88,71.5,52.3,54.4,42,5.8,23,25.2
Operating Profit Margin Qtr %,14.39%,17.69%,28.40%,34.12%,32.61%,21.55%,27.62%,26.66%,5.35%,9.76%,11.64%
Depreciation Qtr Cr,11.7,12.4,11.9,10.5,10.4,10,9.8,10,9.7,10.7,9.5
Interest Qtr Cr,6.9,8.1,3.9,3.2,3.6,4.2,3.5,3.6,4.1,5.2,6.1
Profit Before Tax Qtr Cr,608,102.6,277.9,81.1,63.2,101.8,49.7,35.1,-4.7,35.4,11.7
Tax Qtr Cr,133.5,17.7,20,19.9,15.3,7.8,11.5,7.6,-1,0.9,4
Net Profit Qtr Cr,474.4,84.8,257.9,61.2,47.9,94,38.2,27.4,-3.7,34.5,7.6
Basic EPS Qtr Rs,13.5,2.4,7.3,1.8,1.4,2.7,1.1,0.8,-0.1,1,0.2
