Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,477.7,429.1,381.2,352.9,394,383.6,325.5,294,246.3,237.4,259.1
Operating Expenses Qtr Cr,357.6,352.1,310.1,273.2,281.1,248.8,200.8,196,167.8,167.2,184.3
Operating Profit Qtr Cr,115.8,73.6,66.6,75.5,110.7,133.4,123.1,95.3,77.4,67.6,72.6
Operating Profit Margin Qtr %,24.46%,17.28%,17.68%,21.64%,28.26%,34.90%,38.00%,32.71%,31.56%,28.79%,28.25%
Depreciation Qtr Cr,11.8,11.6,7.9,7.7,7.5,7.3,7.6,7.2,7,7.2,6.8
Interest Qtr Cr,0.8,0.8,1,1,1.1,1.4,1.4,1.6,1.9,1.9,2.1
Profit Before Tax Qtr Cr,107.5,64.6,62.3,70.9,104.3,126.1,115.8,89.1,69.6,61.1,98.6
Tax Qtr Cr,25.6,18.2,16.4,16.9,25.8,33.5,31.3,23.7,16.8,11.9,21.6
Net Profit Qtr Cr,81.9,46.4,45.9,54.1,78.5,92.6,84.5,65.5,52.8,49.2,77.1
Basic EPS Qtr Rs,16,9.1,9,10.6,15.4,45.4,41.4,32.1,25.9,24.1,37.8
