Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,336.8,345.3,301.9,291.9,259.5,240.8,221.7,170.2,135.4,209.7,291.5
Operating Expenses Qtr Cr,271.9,246.8,246,241.4,231.8,223.4,193.8,157.7,129.8,177.3,175.7
Operating Profit Qtr Cr,55.8,44,49.1,37.1,20.3,11,22.1,7.9,0.8,15.8,21.9
Operating Profit Margin Qtr %,17.01%,15.13%,16.63%,13.32%,8.06%,4.70%,10.22%,4.78%,0.64%,8.18%,11.10%
Depreciation Qtr Cr,24,24.5,24.8,24.9,24.6,22,25.4,22.9,24.7,22.3,22.4
Interest Qtr Cr,11,11.4,11.8,10.2,10.5,8.9,10,9.1,8.4,9.8,7.9
Profit Before Tax Qtr Cr,29.9,62.6,19.3,15.4,-7.4,-13.5,-7.5,-19.5,-27.5,0.3,85.5
Tax Qtr Cr,0,-0.2,0,0,0,0.7,0,-0,0,0.1,3.9
Net Profit Qtr Cr,29.9,62.9,19.3,15.4,-7.4,-14.2,-7.5,-19.5,-27.5,0.2,81.6
Basic EPS Qtr Rs,0.6,1.3,0.4,0.5,-0.1,-0.3,-0.1,-0.4,-0.6,0,1.6
