Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,21728.6,21999.6,21101.5,20134.4,19591.6,20213.5,19274.4,19870.1,19125.6,20219.6,19494.9
Operating Expenses Qtr Cr,6496,6576.5,6331.4,5770.5,4932.4,5358.6,5053.3,4235.6,3727.6,4942.1,4496.9
Operating Profit Qtr Cr,2889,2242.6,2321.2,2129.8,2827.9,2196.3,2319.5,3090.4,3257.7,1865.7,1956.1
Operating Profit Margin Qtr %,15.42%,12.62%,13.45%,13.04%,17.67%,14.13%,14.97%,19.24%,19.70%,11.49%,12.45%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,9344.6,8957.1,8608.6,8435.7,8243.2,7990.2,8125.6,8736.8,9553.6,9426.4,9255.3
Profit Before Tax Qtr Cr,5528.6,5478.8,4826.7,4193.1,2884,3569.7,1491.2,2317,1428,-1878.9,2271.8
Tax Qtr Cr,1402.4,1361,1212.5,1059.8,723.9,892.6,374.6,634.3,315.8,-491.1,514.8
Net Profit Qtr Cr,4126.3,4117.8,3614.2,3133.3,2160.2,2677.1,1116.6,1682.7,1112.2,-1387.8,1757
Basic EPS Qtr Rs,13.4,13.4,11.8,10.2,7,8.7,3.6,5.7,3.9,-4.9,6.2
