Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1094.6,1291.4,1238.7,1218.2,1145.7,1033.8,1083.3,1294.4,1433.7,1761.3,1202.6
Operating Expenses Qtr Cr,1035.7,948.6,1112.4,1079,1006.4,687.1,1035.8,1162.1,1212.9,1498.7,1085.6
Operating Profit Qtr Cr,44.4,331,99.8,134.8,134,332.2,36.4,127.7,217.5,241.3,110.2
Operating Profit Margin Qtr %,4.11%,25.87%,8.23%,11.11%,11.75%,32.59%,3.39%,9.90%,15.20%,13.87%,9.22%
Depreciation Qtr Cr,28.2,28.4,28,28.2,29.3,27.8,28.1,28.2,27.8,27.4,25
Interest Qtr Cr,13.8,7.8,3.7,6.2,13.1,9.6,5,9,15.6,17.3,7.5
Profit Before Tax Qtr Cr,16.9,359.3,94.6,104.9,96.8,309.3,14.4,95.1,177.4,217.9,84.5
Tax Qtr Cr,5.2,70.4,23.5,23.3,23.8,71.4,-8,20.1,42.8,-16.9,14.4
Net Profit Qtr Cr,11.6,289,71.1,81.6,73,237.8,22.4,75,134.6,234.8,70
Basic EPS Qtr Rs,0.6,14.2,3.5,3.9,3.5,11.3,1.1,3.5,6.1,10.7,3.2
