Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,20119.5,20695.9,20482.3,20270.7,20022.4,21532.9,20664.2,20719.8,20312.4,21533.1,21809.1
Operating Expenses Qtr Cr,5492.9,5498.8,5588,5475.6,5154,5689.4,5053.6,4758,4314.4,4512,4911.8
Operating Profit Qtr Cr,3345.5,3112.8,2964.1,2090.3,2737.6,1417.2,2695.1,2749.6,2501.7,2286.2,2217.3
Operating Profit Margin Qtr %,17.67%,17.13%,16.50%,12.52%,16.05%,8.49%,15.17%,15.35%,13.53%,12.23%,11.63%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,10099.1,9561.9,9411,9125.6,9161,9577.9,10020,10410.1,11678.1,11900.3,11938.9
Profit Before Tax Qtr Cr,2842.7,1898.8,2976.3,2916,1595.4,2679.6,1634,2550.2,-1307.8,-1723.3,-2196.9
Tax Qtr Cr,674.6,120,779.3,828.1,386.8,3726.1,572.9,871.6,-443.5,-2229.8,-790
Net Profit Qtr Cr,2168.1,1778.8,2197,2087.8,1208.6,-1046.5,1061.1,1678.6,-864.3,506.6,-1407
Basic EPS Qtr Rs,4.2,3.4,4.2,4,2.3,-2.2,2.3,3.6,-1.9,0.9,-3.7
