Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,952.3,684,854.8,625.6,279.2,604.4,627.9,382.2,186.8,636.8,846.7
Operating Expenses Qtr Cr,698.4,503.3,672.7,495,301.1,477.9,497.6,349.7,220.9,480.9,567.1
Operating Profit Qtr Cr,244.6,162,168.6,119.1,-34,112,117.1,18.2,-86.1,138.8,262.6
Operating Profit Margin Qtr %,25.94%,24.35%,20.04%,19.39%,-12.74%,18.98%,19.05%,4.93%,-63.89%,22.40%,31.65%
Depreciation Qtr Cr,69.3,71.7,61.5,58.6,50.1,62,65.2,64.5,73.1,71.4,76.5
Interest Qtr Cr,24.9,24.5,23.3,22,23,24.2,25,26.5,27.8,27.1,28.5
Profit Before Tax Qtr Cr,159.7,84.4,97.3,50,-94.9,40.3,35.5,-58.5,-135,57.4,174.7
Tax Qtr Cr,40.3,21.6,24.9,13,-23.6,10.9,9.7,-14.1,-33.9,19.8,57.5
Net Profit Qtr Cr,119.3,62.8,72.4,37,-71.3,29.4,25.8,-44.4,-101.1,37.6,117.2
Basic EPS Qtr Rs,9.3,4.9,5.6,2.9,-5.5,2.3,2,-3.5,-7.9,2.9,9.1
