Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1681.6,979,999.9,1379.4,1430.7,749.6,936.5,1396.3,1242.7,476.5,873.4
Operating Expenses Qtr Cr,1272.3,762.6,923.8,1143.3,1093.6,651,812.2,1083.9,902.5,400.5,693.7
Operating Profit Qtr Cr,395.1,200.7,66.3,221.8,322.3,82.7,106,297.7,325.3,58.2,160.3
Operating Profit Margin Qtr %,23.70%,20.83%,6.70%,16.25%,22.76%,11.27%,11.54%,21.55%,26.49%,12.69%,18.77%
Depreciation Qtr Cr,22.9,21.4,14.2,14.3,14.6,21.6,14.3,13.9,23.7,19.1,14.9
Interest Qtr Cr,4.1,5.5,2.6,2.3,2.5,3.5,3.9,2.5,2.7,2.6,3.6
Profit Before Tax Qtr Cr,382.3,189.5,117.8,219.5,320,79.8,106.1,296,312.6,25.7,164.1
Tax Qtr Cr,79.7,36.8,33,65.4,66.3,17.9,151.2,71.4,60.9,-5.8,26.2
Net Profit Qtr Cr,302.6,152.7,84.8,154.1,253.7,61.9,-45.1,224.6,251.7,31.5,137.9
Basic EPS Qtr Rs,67.3,34,18.9,34.3,56.5,13.8,-10,50,56,7,30.7
