Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,121506.2,109371.2,101727.8,102312.2,71373,78546.3,68245.9,50718.9,39378.4,70148.2,75247.6
Operating Expenses Qtr Cr,126967.7,104524.2,96832.2,97154,67668.5,71824.5,62425.6,46295.2,34869.2,69610.3,72029.4
Operating Profit Qtr Cr,-5901.8,4249.3,4213,4477.7,3252.7,5057.9,4305.8,3851.2,3915.8,-618.8,2703.4
Operating Profit Margin Qtr %,-4.87%,3.91%,4.17%,4.41%,4.59%,6.58%,6.45%,7.68%,10.10%,-0.90%,3.62%
Depreciation Qtr Cr,1610.7,1273.5,1168,1168.1,1144.6,999.8,993.6,988.8,995.9,947.4,973.1
Interest Qtr Cr,615.5,533.8,445.9,394,486.7,477.6,251,12.6,587.1,578.5,512.1
Profit Before Tax Qtr Cr,-7687.7,3039.6,3281.7,3596.1,1996.1,12237.4,4156.2,3297.8,2926.2,-2068.9,1733
Tax Qtr Cr,-1396.9,909,819.2,902,494.5,297.3,1378.6,1050,850,-707.9,472.4
Net Profit Qtr Cr,-6290.8,2130.5,2462.4,2694.1,1501.7,11940.1,2777.6,2247.8,2076.2,-1361,1260.6
Basic EPS Qtr Rs,-29.5,10,11.6,12.7,7.1,59.8,14.1,11.4,10.6,-6.9,6.4
