Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,21263.7,19743.4,18044.3,17162.3,17114.7,17638.9,17016.7,16398.1,15660.1,15088.2,13552.3
Operating Expenses Qtr Cr,9990.6,9791.2,8958.9,8534.6,8266.4,8726.3,9511,9206.3,8898.2,9048,8299.4
Operating Profit Qtr Cr,10196.8,9703.6,8969.6,8569.8,7847.8,7603.2,7424.8,6805.1,6151,5943.4,5180.3
Operating Profit Margin Qtr %,50.51%,49.78%,50.03%,50.10%,48.70%,46.56%,43.84%,42.50%,40.87%,39.65%,38.43%
Depreciation Qtr Cr,6540.3,6366.2,6322.7,6144.2,5759.3,5559.9,5635.7,5487.6,5314.3,5165.5,5226.4
Interest Qtr Cr,4191.7,3547.9,3541.5,3383.7,3672.7,3187.6,2968.7,2868.8,2791.6,3121.5,2544.3
Profit Before Tax Qtr Cr,541.1,-2693.6,-778.8,-178.1,-583.7,485.5,-4845,-1164.6,-12941.1,-10038.9,-5239.8
Tax Qtr Cr,134.6,-225.4,-190.9,-45.3,-147.6,29.2,3501.1,-318.6,3520.7,-3156,-1851.7
Net Profit Qtr Cr,406.5,-2468.2,-587.9,-132.8,-436.1,456.3,-8346.1,-846,-16461.8,-6882.9,-3388.1
Basic EPS Qtr Rs,0.7,-4.4,-1.1,-0.2,-0.8,0.8,-15.3,-1.6,-30.2,-12.7,-6.6
