Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,586,580.4,544.2,522.4,476.5,449.3,419.9,404.1,379.3,411.5,377.6
Operating Expenses Qtr Cr,462.7,455.6,430.3,391.6,369.9,348.1,325.6,315.2,296.3,315.8,306.5
Operating Profit Qtr Cr,100.7,101.7,98.6,118.2,83.4,97,83.9,85.9,88.6,80.2,61.7
Operating Profit Margin Qtr %,17.88%,18.26%,18.64%,23.19%,18.39%,21.80%,20.49%,21.42%,23.02%,20.26%,16.76%
Depreciation Qtr Cr,18.2,17.6,16.9,17.5,16.6,15.8,17.7,18.1,18.3,18.1,16.8
Interest Qtr Cr,2.3,3.2,2.7,2.4,2.4,2.4,2.5,2.6,2.7,2.7,3.1
Profit Before Tax Qtr Cr,102.8,104,94.3,111,87.6,83,74,68.2,62,74.9,51.1
Tax Qtr Cr,25.8,25.9,24.7,28.9,21.2,25,24.1,23.3,21.3,30.8,19.8
Net Profit Qtr Cr,77,78.1,69.6,82,66.3,58,49.9,44.9,40.7,44.1,31.2
Basic EPS Qtr Rs,2.7,2.8,2.5,3,2.4,2.1,1.8,1.6,1.5,1.6,1.1
