Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,72.4,161.2,111.7,81,57.9,68.3,77.7,72,96.9,51.7,102.3
Operating Expenses Qtr Cr,63.7,96.9,72.3,82.8,51.6,57.6,64.9,68.2,36.5,60.3,60.6
Operating Profit Qtr Cr,-3.5,49.2,-3.3,-9,-1.1,-0.7,-8,-11.7,-5.5,-12.8,-10.9
Operating Profit Margin Qtr %,-5.80%,33.68%,-4.77%,-12.17%,-2.12%,-1.21%,-14.01%,-20.77%,-17.78%,-26.95%,-21.89%
Depreciation Qtr Cr,2.2,2.3,2.4,1.9,1.9,3.4,1.9,1.7,1.8,3.3,2
Interest Qtr Cr,21.8,22.9,22.9,18.1,18.1,19.5,20.5,20.7,14.5,10.2,8.6
Profit Before Tax Qtr Cr,-15.3,39.2,14.2,-21.9,-3.4,-12.2,-9.5,-18.7,44.2,-22,31.1
Tax Qtr Cr,0,18.3,0,0,0,-1.7,-1.4,-2.5,6.6,-4.1,3.4
Net Profit Qtr Cr,-15.3,20.9,14.2,-21.9,-3.4,-10.5,-8.1,-16.2,37.6,-18,27.7
Basic EPS Qtr Rs,-2.2,3,2,-3.1,-0.5,-1.5,-1.2,-2.3,5.4,-2.6,4
